AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-25,00001,4564217,1824,ALL,Deferred Costs,Deferred Costs,42522,33175,9347,Break
2023-01-24,00005,7043001,2200,ALL,Deferred Costs,Deferred Costs,86920,91688,-4768,Break
2023-01-10,00002,8138801,1659,USD,Principal,Principal,112149,59797,52352,Break
2023-01-04,00001,9834082,2835,USD,Deferred Costs,Deferred Costs,71900,47897,24003,Break
2023-01-16,00004,6612652,1392,INR,Principal,Deferred Costs,39040,104584,-65544,Break
2023-01-21,00001,3906478,5547,ALL,Principal,Principal,53247,63900,-10653,Break
2023-01-09,00005,1471002,5491,EUR,Principal,Principal,93171,84334,8837,Break
2023-01-15,00003,8917950,1104,ISO-4217,Deferred Costs,Principal,80141,79723,418,Break
2023-01-26,00002,3870486,4705,AFN,Deferred Costs,Deferred Costs,102345,54917,47428,Break
2023-01-18,00005,7765629,4745,INR,Principal,Principal,37248,109848,-72600,Break
2023-01-25,00005,9823838,6715,ISO-4217,Principal,Deferred Costs,119845,58758,61087,Break
2023-01-09,00002,7659076,2832,AFN,Principal,Deferred Costs,34502,78584,-44082,Break
2023-01-17,00004,3557553,6968,ISO-4217,Principal,Deferred Costs,90355,84725,5630,Break
2023-01-27,00001,1125524,5093,USD,Principal,Principal,91984,78536,13448,Break
2023-01-15,00004,4086310,4442,INR,Deferred Costs,Deferred Costs,59953,77924,-17971,Break
2023-01-13,00002,5547409,1135,AFN,Principal,Principal,106166,33426,72740,Break
2023-01-06,00006,8125583,3879,EUR,Deferred Costs,Deferred Costs,64846,56500,8346,Break
2023-01-27,00002,6220745,1344,USD,Deferred Costs,Deferred Costs,99071,38602,60469,Break
2023-01-05,00006,5981255,3517,INR,Deferred Costs,Principal,48185,60223,-12038,Break
2023-01-15,00004,3422265,4644,INR,Principal,Deferred Costs,79376,46894,32482,Break
2023-01-28,00005,9987522,1297,USD,Deferred Costs,Principal,93739,89374,4365,Break
2023-01-11,00005,7024995,5498,USD,Deferred Costs,Principal,110996,89106,21890,Break
2023-01-13,00006,1490678,3084,INR,Deferred Costs,Deferred Costs,88168,41289,46879,Break
2023-01-17,00002,3731454,4102,USD,Deferred Costs,Principal,62894,75611,-12717,Break
2023-01-23,00001,9304838,4433,USD,Deferred Costs,Principal,72500,37005,35495,Break
2023-01-17,00004,9948090,4492,ALL,Deferred Costs,Deferred Costs,68535,109488,-40953,Break
2023-01-12,00001,2529898,4059,USD,Principal,Deferred Costs,103184,111174,-7990,Break
2023-01-24,00005,5456586,5406,AFN,Principal,Principal,65739,34019,31720,Break
2023-01-23,00004,6219785,1450,AFN,Principal,Principal,67275,47211,20064,Break
2023-01-28,00003,3008309,5074,ISO-4217,Deferred Costs,Principal,89447,105824,-16377,Break
2023-01-26,00003,3375893,2301,EUR,Deferred Costs,Principal,103691,49531,54160,Break
2023-01-12,00004,6093823,6992,INR,Deferred Costs,Deferred Costs,45600,118833,-73233,Break
2023-01-27,00006,9143591,4663,ISO-4217,Principal,Deferred Costs,119121,53940,65181,Break
2023-01-10,00004,1778230,2789,EUR,Principal,Principal,64425,99564,-35139,Break
2023-01-30,00003,7270086,2737,ALL,Deferred Costs,Deferred Costs,105168,61323,43845,Break
2023-01-13,00001,2703545,4818,INR,Principal,Principal,33477,34796,-1319,Break
2023-01-12,00001,7499767,3260,USD,Principal,Deferred Costs,82881,99201,-16320,Break
2023-01-17,00001,2186681,4582,AFN,Principal,Principal,69922,92949,-23027,Break
2023-01-26,00003,5517902,3953,USD,Principal,Principal,52642,60806,-8164,Break
2023-01-04,00004,4150450,1751,ALL,Principal,Principal,48458,98432,-49974,Break
2023-01-15,00002,6035509,3755,ISO-4217,Principal,Principal,84744,31402,53342,Break
2023-01-30,00005,3921227,4537,ALL,Principal,Principal,107052,110558,-3506,Break
2023-01-03,00002,9141755,3483,USD,Deferred Costs,Principal,58636,71883,-13247,Break
2023-01-13,00001,6092501,2026,ISO-4217,Deferred Costs,Deferred Costs,105666,50724,54942,Break
2023-01-12,00001,9644926,2237,USD,Deferred Costs,Principal,49406,81095,-31689,Break
2023-01-25,00002,6843239,5716,ISO-4217,Principal,Deferred Costs,101456,106933,-5477,Break
2023-01-28,00003,2314427,5424,USD,Principal,Principal,103446,88128,15318,Break
2023-01-24,00006,8103283,3387,USD,Deferred Costs,Deferred Costs,74587,104419,-29832,Break
2023-01-24,00002,3142132,6301,ALL,Principal,Deferred Costs,71523,99900,-28377,Break
2023-01-08,00005,2089192,1528,ISO-4217,Principal,Deferred Costs,36112,102579,-66467,Break
2023-01-28,00004,8180526,3573,ALL,Principal,Deferred Costs,36399,96776,-60377,Break
2023-01-01,00001,1939968,2543,INR,Deferred Costs,Principal,47553,41671,5882,Break
2023-01-20,00003,2994296,4864,ALL,Principal,Deferred Costs,117255,110652,6603,Break
2023-01-04,00003,9142672,4001,ALL,Deferred Costs,Principal,84783,116569,-31786,Break
2023-01-19,00002,2140211,1984,EUR,Principal,Principal,73888,113305,-39417,Break
2023-01-27,00005,9626398,4346,EUR,Deferred Costs,Deferred Costs,47701,79497,-31796,Break
2023-01-27,00002,6498896,1969,USD,Principal,Deferred Costs,94647,66411,28236,Break
2023-01-02,00005,6455222,2233,EUR,Deferred Costs,Deferred Costs,40000,47706,-7706,Break
2023-01-02,00001,4725400,1730,ISO-4217,Principal,Deferred Costs,95039,119911,-24872,Break
2023-01-19,00004,5951249,6547,AFN,Principal,Principal,36829,82718,-45889,Break
2023-01-24,00002,4246028,5912,INR,Principal,Deferred Costs,50599,77968,-27369,Break
2023-01-06,00001,8481231,2011,AFN,Principal,Principal,99631,54970,44661,Break
2023-01-21,00002,5517967,6716,ALL,Principal,Deferred Costs,101005,71359,29646,Break
2023-01-22,00006,8359854,5239,AFN,Deferred Costs,Principal,114405,68856,45549,Break
2023-01-09,00002,5965795,2771,ISO-4217,Principal,Deferred Costs,43364,60203,-16839,Break
2023-01-02,00002,3126397,5314,EUR,Deferred Costs,Deferred Costs,96777,92102,4675,Break
2023-01-03,00001,6694297,1485,INR,Deferred Costs,Deferred Costs,78476,35958,42518,Break
2023-01-16,00004,5809151,6982,EUR,Principal,Principal,110504,42955,67549,Break
2023-01-23,00001,2551633,5732,INR,Principal,Principal,44589,60526,-15937,Break
2023-01-27,00006,7562923,1560,USD,Deferred Costs,Principal,60458,103261,-42803,Break
2023-01-08,00001,5444577,3997,AFN,Deferred Costs,Deferred Costs,55820,38391,17429,Break
2023-01-15,00002,9073390,2766,ALL,Deferred Costs,Principal,69410,42195,27215,Break
2023-01-11,00002,3273972,5284,INR,Deferred Costs,Principal,54184,115421,-61237,Break
2023-01-14,00001,3995155,6044,EUR,Deferred Costs,Deferred Costs,86577,57724,28853,Break
2023-01-27,00004,3452712,6995,ALL,Deferred Costs,Deferred Costs,94087,38881,55206,Break
2023-01-08,00001,9284395,5271,ALL,Deferred Costs,Principal,51699,93966,-42267,Break
2023-01-29,00004,9971296,6743,INR,Principal,Principal,82710,49974,32736,Break
2023-01-27,00005,4226374,3932,USD,Deferred Costs,Principal,115855,119737,-3882,Break
2023-01-10,00003,5400946,3476,USD,Principal,Deferred Costs,45163,52856,-7693,Break
2023-01-11,00006,8073587,5958,AFN,Deferred Costs,Principal,110230,58522,51708,Break
2023-01-14,00001,4133971,4965,ISO-4217,Principal,Deferred Costs,58610,118971,-60361,Break
2023-01-08,00001,7924882,3099,EUR,Principal,Principal,106088,59298,46790,Break
2023-01-26,00002,2008309,1769,EUR,Deferred Costs,Deferred Costs,46692,113637,-66945,Break
2023-01-17,00006,6777512,4885,ISO-4217,Deferred Costs,Deferred Costs,112115,39565,72550,Break
2023-01-13,00001,5423316,4957,ISO-4217,Principal,Deferred Costs,88169,78389,9780,Break
2023-01-06,00003,8683371,4276,USD,Principal,Deferred Costs,112470,83517,28953,Break
2023-01-11,00001,6950363,1737,USD,Deferred Costs,Principal,65179,71328,-6149,Break
2023-01-02,00006,6892357,2547,AFN,Principal,Deferred Costs,84853,109969,-25116,Break
2023-01-20,00001,3909168,5334,AFN,Principal,Deferred Costs,79633,119880,-40247,Break
2023-01-03,00006,6668961,5511,AFN,Deferred Costs,Deferred Costs,80683,38042,42641,Break
2023-01-16,00002,7015369,6552,EUR,Deferred Costs,Principal,46720,55443,-8723,Break
2023-01-03,00004,9351368,5099,INR,Principal,Deferred Costs,72422,74266,-1844,Break
2023-01-07,00002,3359587,3310,AFN,Deferred Costs,Principal,82239,67385,14854,Break
2023-01-01,00002,6647565,1361,AFN,Deferred Costs,Deferred Costs,77574,104749,-27175,Break
2023-01-11,00004,5884454,4672,EUR,Deferred Costs,Principal,80686,48124,32562,Break
2023-01-13,00006,7385971,6786,ISO-4217,Deferred Costs,Principal,105399,101692,3707,Break
2023-01-06,00006,9618693,6091,ISO-4217,Deferred Costs,Deferred Costs,38406,108046,-69640,Break
2023-01-05,00004,7002618,2377,ISO-4217,Principal,Principal,35474,37961,-2487,Break
2023-01-03,00002,7420691,1873,ISO-4217,Deferred Costs,Principal,55287,31128,24159,Break
2023-01-30,00005,4016603,2812,EUR,Principal,Deferred Costs,66279,70028,-3749,Break
2023-01-13,00001,2421223,5158,ALL,Principal,Deferred Costs,74296,100611,-26315,Break
2023-01-19,00004,4375981,5254,ISO-4217,Principal,Deferred Costs,30324,98120,-67796,Break
2023-01-05,00006,2156370,6226,EUR,Principal,Deferred Costs,35231,79337,-44106,Break
2023-01-25,00006,2395537,1017,EUR,Principal,Principal,103067,116217,-13150,Break
2023-01-15,00003,9316755,5872,ALL,Principal,Deferred Costs,85456,50052,35404,Break
2023-01-03,00003,7229390,4868,ISO-4217,Principal,Deferred Costs,60709,47053,13656,Break
2023-01-18,00003,7592804,5831,ALL,Principal,Principal,102625,62921,39704,Break
2023-01-27,00004,9695267,4653,ALL,Deferred Costs,Deferred Costs,49877,93056,-43179,Break
2023-01-05,00004,3553087,2641,EUR,Principal,Deferred Costs,110459,107670,2789,Break
2023-01-30,00004,9019146,1329,EUR,Deferred Costs,Deferred Costs,37886,61412,-23526,Break
2023-01-17,00003,3027275,5718,EUR,Deferred Costs,Deferred Costs,54035,88352,-34317,Break
2023-01-23,00006,6357886,1462,INR,Principal,Principal,35223,82486,-47263,Break
2023-01-26,00006,5259010,1800,INR,Principal,Deferred Costs,98140,60122,38018,Break
2023-01-08,00001,7754179,5189,EUR,Principal,Deferred Costs,40504,58615,-18111,Break
2023-01-22,00002,9039377,5458,ALL,Principal,Deferred Costs,80212,47710,32502,Break
2023-01-09,00005,6799302,1780,ALL,Deferred Costs,Deferred Costs,83924,67079,16845,Break
2023-01-30,00005,2772826,5228,AFN,Principal,Principal,92499,88176,4323,Break
2023-01-29,00003,4634179,3469,USD,Deferred Costs,Deferred Costs,70469,45036,25433,Break
2023-01-24,00001,2571652,1199,AFN,Principal,Deferred Costs,68833,46090,22743,Break
2023-01-30,00002,5385401,2714,AFN,Deferred Costs,Principal,68098,108327,-40229,Break
2023-01-04,00003,7780077,1819,ISO-4217,Deferred Costs,Deferred Costs,88366,76481,11885,Break
2023-01-20,00004,8780938,2915,USD,Deferred Costs,Principal,72151,48380,23771,Break
2023-01-16,00004,5453465,4087,AFN,Deferred Costs,Deferred Costs,115434,112120,3314,Break
2023-01-05,00003,6177960,6137,EUR,Deferred Costs,Principal,47701,39377,8324,Break
2023-01-20,00001,7416554,6373,AFN,Principal,Deferred Costs,47330,30178,17152,Break
2023-01-03,00004,9504779,6107,AFN,Deferred Costs,Deferred Costs,98026,81624,16402,Break
2023-01-26,00002,5501859,6830,EUR,Principal,Deferred Costs,73078,101557,-28479,Break
2023-01-16,00002,7400008,4605,EUR,Principal,Principal,78204,81235,-3031,Break
2023-01-05,00006,7590130,4533,USD,Principal,Principal,41758,31268,10490,Break
2023-01-08,00003,2753405,1933,INR,Deferred Costs,Principal,62168,54884,7284,Break
2023-01-13,00005,3336333,5849,INR,Deferred Costs,Principal,116037,101562,14475,Break
2023-01-25,00001,9067522,5749,ALL,Principal,Deferred Costs,109175,72346,36829,Break
2023-01-13,00004,3010138,5577,AFN,Deferred Costs,Deferred Costs,99691,82129,17562,Break
2023-01-30,00002,6108111,4488,AFN,Deferred Costs,Deferred Costs,88722,37043,51679,Break
2023-01-19,00003,8581269,3722,ISO-4217,Deferred Costs,Deferred Costs,38957,45036,-6079,Break
2023-01-23,00006,3561767,5651,USD,Principal,Principal,98236,68782,29454,Break
2023-01-06,00004,6978930,6265,INR,Principal,Deferred Costs,91088,64505,26583,Break
2023-01-13,00006,7053799,1029,INR,Principal,Deferred Costs,37627,110341,-72714,Break
2023-01-01,00001,1844805,2584,AFN,Deferred Costs,Deferred Costs,73192,86763,-13571,Break
2023-01-04,00006,8959928,2825,ALL,Principal,Principal,118615,33357,85258,Break
2023-01-22,00002,5109916,1242,AFN,Principal,Principal,66598,48794,17804,Break
2023-01-25,00006,2495611,6237,USD,Principal,Deferred Costs,45833,108769,-62936,Break
2023-01-23,00003,8197166,1122,INR,Deferred Costs,Principal,35054,89663,-54609,Break
2023-01-18,00002,4893028,6230,AFN,Deferred Costs,Principal,37371,69981,-32610,Break
2023-01-20,00001,3206167,1852,ISO-4217,Deferred Costs,Principal,34815,104808,-69993,Break
2023-01-29,00004,6816684,3339,AFN,Deferred Costs,Principal,119177,52123,67054,Break
2023-01-06,00001,2453863,1726,INR,Principal,Principal,47045,40829,6216,Break
2023-01-04,00001,1502193,6311,EUR,Deferred Costs,Deferred Costs,83995,60300,23695,Break
2023-01-06,00006,2199426,2235,USD,Principal,Principal,106761,76044,30717,Break
2023-01-09,00001,3152618,1147,ISO-4217,Principal,Deferred Costs,113501,96843,16658,Break
2023-01-20,00006,7810504,1131,USD,Deferred Costs,Principal,40190,78102,-37912,Break
2023-01-04,00002,9453974,6287,EUR,Principal,Principal,48728,42382,6346,Break
2023-01-14,00003,2367067,2280,EUR,Principal,Principal,62306,57750,4556,Break
2023-01-30,00004,3954099,4440,EUR,Deferred Costs,Principal,117025,85811,31214,Break
2023-01-23,00002,4263824,4311,ALL,Principal,Principal,113193,70003,43190,Break
2023-01-10,00003,4010794,2654,AFN,Deferred Costs,Principal,118953,73325,45628,Break
2023-01-24,00005,9469445,1662,USD,Deferred Costs,Deferred Costs,70571,100926,-30355,Break
2023-01-23,00003,7093062,3772,INR,Deferred Costs,Principal,58229,80230,-22001,Break
2023-01-25,00006,5055557,2126,USD,Principal,Principal,96542,32858,63684,Break
2023-01-24,00006,8005261,6258,INR,Principal,Principal,104646,103460,1186,Break
2023-01-14,00003,4298728,6970,INR,Principal,Deferred Costs,104545,62497,42048,Break
2023-01-06,00005,6319811,4201,ISO-4217,Deferred Costs,Principal,101291,93408,7883,Break
2023-01-03,00006,7677720,5856,EUR,Deferred Costs,Deferred Costs,66292,50688,15604,Break
2023-01-03,00006,7307205,5453,ISO-4217,Principal,Principal,30801,82463,-51662,Break
2023-01-28,00006,8483558,3106,ALL,Principal,Deferred Costs,105482,60991,44491,Break
2023-01-15,00006,5470833,3909,INR,Deferred Costs,Deferred Costs,110974,78441,32533,Break
2023-01-15,00004,8016406,6547,ALL,Deferred Costs,Deferred Costs,112241,97284,14957,Break
2023-01-18,00003,9789529,5121,ALL,Principal,Principal,50301,105005,-54704,Break
2023-01-16,00004,6634996,2454,EUR,Deferred Costs,Deferred Costs,40765,33455,7310,Break
2023-01-03,00003,9679667,5580,ISO-4217,Deferred Costs,Deferred Costs,77736,114999,-37263,Break
2023-01-14,00002,5955384,6869,AFN,Deferred Costs,Deferred Costs,76868,107262,-30394,Break
2023-01-10,00001,1120523,3944,USD,Deferred Costs,Principal,38083,83019,-44936,Break
2023-01-08,00002,4642636,1746,EUR,Principal,Deferred Costs,42738,90575,-47837,Break
2023-01-19,00001,1875763,1576,AFN,Principal,Deferred Costs,82769,117036,-34267,Break
2023-01-15,00006,9566151,2371,ISO-4217,Deferred Costs,Principal,48445,106864,-58419,Break
2023-01-13,00001,3638547,1819,INR,Deferred Costs,Deferred Costs,53578,106942,-53364,Break
2023-01-27,00004,2720798,2775,EUR,Deferred Costs,Deferred Costs,105206,33177,72029,Break
2023-01-08,00001,9976176,5000,ISO-4217,Deferred Costs,Deferred Costs,81737,94187,-12450,Break
2023-01-18,00005,1451759,2646,ISO-4217,Deferred Costs,Principal,56643,74110,-17467,Break
2023-01-05,00006,4684937,6919,USD,Principal,Principal,58047,104902,-46855,Break
2023-01-11,00001,3402420,1014,ISO-4217,Deferred Costs,Deferred Costs,103619,48465,55154,Break
2023-01-06,00006,9243038,2314,ISO-4217,Deferred Costs,Principal,71200,61241,9959,Break
2023-01-09,00002,7333927,4079,INR,Deferred Costs,Principal,73953,41432,32521,Break
2023-01-01,00005,1323468,2836,ISO-4217,Principal,Deferred Costs,93600,68361,25239,Break
